auditid;HoldHeatSetpoint;HoldCoolSetpoint;NonProgrammableHeatSetpoint;NonProgrammableCoolSetpoint;SystemSwitchSetting;FanMode;ScheduleOnOff;HoldMode;ContinuousBacklight;Degrees;TempOffset;HumidityOffset;LocalHumidityDisplayEnabled;OutdoorTempDisplayEnabled;LocalTimeDisplayEnabled;HeatCycleRate;CoolCycleRate;AuxCycleRate;FastSecondStageHeat;FastSecondStageCool;FastSecondStageAux;ComfortRecovery;Id;Updated
4756008;62;75;61;75;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 10:27:44
4756465;68;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-22 10:48:58
4756780;62;74;61;75;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 13:23:07
4758172;67;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-22 13:47:20
4759227;62;73;61;75;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 14:06:36
4760069;69;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-22 15:23:04
4761061;70;77;61;75;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 16:06:03
4762910;70;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-22 16:36:26
4763588;70;76;61;75;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 17:13:29
4764284;70;75;61;75;cool;on;1;1;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 19:06:36
4767031;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 19:38:23
4771504;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-22 21:41:37
4772501;255;255;61;75;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 02:10:45
4772586;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 05:01:59
4774556;255;255;66;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-22 12:18:12
4774918;255;255;67;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 07:15:21
4774925;255;255;68;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 07:31:17
4774955;255;255;67;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 07:31:32
4775249;255;255;66;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 07:32:49
4775607;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-22 18:34:11
4775674;255;255;61;73;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 05:05:22
4778008;255;255;65;71;heat;on;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 07:45:47
4778021;255;255;64;71;heat;auto;0;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;5862;2014-11-23 09:29:43
4778807;67;75;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 08:00:57
4780398;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 10:00:03
4782987;67;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 10:57:08
4789692;69;83;69;61;heat;on;1;1;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 12:39:50
4789879;255;255;69;61;heat;on;1;0;0;F;0;0;0;0;1;1;1;1;1;1;1;0;16188;2014-11-23 17:03:35
4792031;255;255;61;74;cool;on;0;0;0;F;0;0;1;0;1;1;1;1;1;1;1;0;16390;2014-11-23 08:02:34
